,mcc,f1,precision,recall,roc_auc,subsample
0,0.7614632803393085,0.8720626631853786,0.9277777777777778,0.8226600985221675,0.8786667326781692,alpha_10_idx_2
1,0.8183177039994032,0.9053708439897699,0.9414893617021277,0.8719211822660099,0.9083224001782311,alpha_1_5_idx_3
2,0.8236295420362147,0.9076923076923077,0.946524064171123,0.8719211822660099,0.9108349629923014,alpha_10_idx_3
3,0.8105802325806143,0.8987012987012987,0.9505494505494505,0.8522167487684729,0.9034953090576033,alpha_1_5_idx_2
4,0.7914838487111173,0.8823529411764707,0.9649122807017544,0.812807881773399,0.8913285640022774,alpha_1_idx_1
5,0.7712680100598349,0.8664850136239781,0.9695121951219512,0.7832512315270936,0.8790628016931951,alpha_100_idx_3
6,0.8415072729382239,0.9138381201044387,0.9722222222222222,0.8620689655172413,0.9184716686882689,alpha_10_idx_1
7,0.8635294095864281,0.9282051282051281,0.9679144385026738,0.8916256157635468,0.9307374309973513,alpha_5_idx_1
8,0.846537077714953,0.9253012048192771,0.9056603773584906,0.9458128078817734,0.9226551476594796,alpha_0_01_idx_3
9,0.8660270727681654,0.9270833333333335,0.9834254143646409,0.8768472906403941,0.930885956877986,alpha_1_idx_2
10,0.8582041807508746,0.9258312020460358,0.9627659574468085,0.8916256157635468,0.9282248681832809,alpha_2_idx_1
11,0.8397126233290119,0.9147286821705427,0.9619565217391305,0.8719211822660099,0.9183726514345124,alpha_5_idx_3
12,0.8482325615630067,0.9207161125319694,0.9574468085106383,0.8866995073891626,0.9232492511820185,alpha_100_idx_2
13,0.8717766918107246,0.9343434343434343,0.9585492227979274,0.9113300492610837,0.935564522117979,alpha_0_5_idx_1
14,0.8856764489935007,0.9429280397022333,0.95,0.9359605911330049,0.9428546674257989,alpha_5_idx_2
15,0.8451243593692377,0.917098445595855,0.9672131147540983,0.8719211822660099,0.9208852142485827,alpha_1_5_idx_1
16,0.9205567697181334,0.9609756097560976,0.9516908212560387,0.9704433497536946,0.9600960467361438,alpha_inf_idx_2
17,0.9057668759378618,0.9526184538653367,0.9646464646464646,0.9408866995073891,0.952855410055202,alpha_100_idx_1
18,0.8735043764739815,0.9333333333333335,0.9732620320855615,0.896551724137931,0.9357130479986138,alpha_inf_idx_3
19,0.9159991890924087,0.9573934837092731,0.9744897959183674,0.9408866995073891,0.9578805356833429,alpha_2_idx_3
20,0.8912855755232383,0.9447236180904524,0.9641025641025641,0.9261083743842364,0.9454662474936257,alpha_0_1_idx_1
21,0.9042034772440901,0.9484536082474228,0.9945945945945946,0.9064039408866995,0.9506894076292793,alpha_0_01_idx_2
22,0.9208239560882255,0.96,0.9746192893401016,0.9458128078817734,0.9603435898705349,alpha_0_001_idx_2
23,0.8988156382213687,0.9460154241645244,0.989247311827957,0.9064039408866995,0.9481768448152089,alpha_0_01_idx_1
24,0.932043584988141,0.9644670050761421,0.9947643979057592,0.9359605911330049,0.9654677327524321,alpha_0_1_idx_3
25,0.9134042440241948,0.9538461538461539,0.9946524064171123,0.916256157635468,0.9556155160036637,alpha_0_001_idx_1
26,0.9356224256366991,0.9675810473815462,0.9797979797979798,0.9556650246305419,0.9677822610589896,alpha_inf_idx_1
27,0.8934543102490882,0.9435897435897435,0.983957219251337,0.9064039408866995,0.9456642820011387,alpha_2_idx_2
28,0.9263274048605664,0.9622166246851385,0.9845360824742269,0.9408866995073891,0.9629056613114836,alpha_0_5_idx_2
29,0.9080622766902138,0.9514066496163682,0.9893617021276596,0.916256157635468,0.9531029531895931,alpha_1_idx_3
30,0.9159991890924087,0.9573934837092731,0.9744897959183674,0.9408866995073891,0.9578805356833429,alpha_0_5_idx_3
31,0.8781474191266102,0.9360613810741688,0.973404255319149,0.9014778325123153,0.9381761021858059,alpha_0_001_idx_3
32,0.8817353241345549,0.9393939393939394,0.9637305699481865,0.916256157635468,0.9405401391192415,alpha_0_1_idx_2
