,mcc,f1,precision,recall,roc_auc,subsample
0,0.15698163183495514,0.13333333333333333,0.4,0.08,0.5360212201591512,alpha_10_idx_2
1,0.35945772498866807,0.3125,0.7142857142857143,0.2,0.5973474801061008,alpha_1_5_idx_3
2,0.3426964705255928,0.37209302325581395,0.4444444444444444,0.32,0.646737400530504,alpha_10_idx_3
3,0.43580320472590633,0.33333333333333337,1.0,0.2,0.6,alpha_1_5_idx_2
4,0.36909514054026804,0.39024390243902435,0.5,0.32,0.6493899204244032,alpha_1_idx_1
5,0.39878360967642734,0.3888888888888889,0.6363636363636364,0.28,0.6346949602122016,alpha_100_idx_3
6,0.37853118765640115,0.3783783783783784,0.5833333333333334,0.28,0.6333687002652519,alpha_10_idx_1
7,0.3840868533501972,0.4,0.5333333333333333,0.32,0.6507161803713528,alpha_5_idx_1
8,0.4065401224645008,0.42857142857142855,0.5294117647058824,0.36,0.669389920424403,alpha_inf_idx_0
9,0.46192303901471954,0.4444444444444444,0.7272727272727273,0.32,0.6560212201591512,alpha_0_01_idx_3
10,0.3787830822554247,0.3529411764705882,0.6666666666666666,0.24,0.6160212201591512,alpha_1_idx_2
11,0.5250624683530117,0.5,0.8181818181818182,0.36,0.6773474801061007,alpha_2_idx_1
12,0.4567320495874359,0.4615384615384615,0.6428571428571429,0.36,0.6733687002652519,alpha_5_idx_3
13,0.5250624683530117,0.5,0.8181818181818182,0.36,0.6773474801061007,alpha_100_idx_2
14,0.4487635667859905,0.4782608695652174,0.5238095238095238,0.44,0.7067374005305039,alpha_0_5_idx_1
15,0.46192303901471954,0.4444444444444444,0.7272727272727273,0.32,0.6560212201591512,alpha_5_idx_2
16,0.5720696112983814,0.5957446808510639,0.6363636363636364,0.56,0.7693899204244032,alpha_1_5_idx_1
17,0.557474614411782,0.5833333333333334,0.6086956521739131,0.56,0.7680636604774537,alpha_inf_idx_2
18,0.5413491217503057,0.5652173913043478,0.6190476190476191,0.52,0.7493899204244031,alpha_100_idx_1
19,0.6558272881386156,0.65,0.8666666666666667,0.52,0.7573474801061009,alpha_inf_idx_3
20,0.6624579571508918,0.6666666666666666,0.8235294117647058,0.56,0.7760212201591512,alpha_2_idx_3
21,0.719301114488502,0.7272727272727272,0.8421052631578947,0.64,0.8160212201591512,alpha_0_1_idx_1
22,0.6905271346929237,0.7083333333333334,0.7391304347826086,0.68,0.8320424403183025,alpha_0_01_idx_2
23,0.5798568543146825,0.5853658536585366,0.75,0.48,0.7346949602122016,alpha_0_001_idx_2
24,0.6852377112018897,0.6829268292682927,0.875,0.56,0.7773474801061008,alpha_0_01_idx_1
25,0.6814643432644851,0.6666666666666666,0.9285714285714286,0.52,0.7586737400530504,alpha_0_1_idx_3
26,0.7099006049402984,0.6842105263157895,1.0,0.52,0.76,alpha_0_001_idx_1
27,0.6913399513856862,0.6976744186046512,0.8333333333333334,0.6,0.7960212201591512,alpha_inf_idx_1
28,0.6415337398342442,0.6511627906976745,0.7777777777777778,0.56,0.7746949602122016,alpha_2_idx_2
29,0.7411461629371281,0.7441860465116279,0.8888888888888888,0.64,0.8173474801061008,alpha_0_5_idx_2
30,0.7101753750962992,0.7000000000000001,0.9333333333333333,0.56,0.7786737400530503,alpha_1_idx_3
31,0.7099006049402984,0.6842105263157895,1.0,0.52,0.76,alpha_0_5_idx_3
32,0.7079333275697182,0.7234042553191491,0.7727272727272727,0.68,0.8333687002652521,alpha_0_001_idx_3
33,0.6707600622769228,0.6818181818181819,0.7894736842105263,0.6,0.7946949602122017,alpha_0_1_idx_2
