subsample,mcc,f1,precision,recall,roc_auc,vs
annomatic_topic_subsamples,0.1288413563003822,0.6680497925311203,0.5078864353312302,0.9757575757575757,0.5290552584670232,2.215
annomatic_topic_subsamples,0.5554030609937921,0.7914438502673796,0.7081339712918661,0.896969696969697,0.769073083778966,2.257
annomatic_topic_subsamples,0.5646146181788382,0.7957559681697612,0.7075471698113207,0.9090909090909091,0.772192513368984,2.841
annomatic_topic_subsamples,0.5994053843529592,0.8088642659279779,0.7448979591836735,0.8848484848484849,0.7953654188948306,3.051
annomatic_topic_subsamples,0.5900850219002198,0.8033707865168539,0.7486910994764397,0.8666666666666667,0.792156862745098,5.043
annomatic_topic_subsamples,0.5821124333717261,0.789156626506024,0.7844311377245509,0.793939393939394,0.7910873440285205,2.862
annomatic_topic_subsamples,0.6148368834127137,0.8115942028985507,0.7777777777777778,0.8484848484848485,0.8065953654188949,5.805
annomatic_topic_subsamples,0.596528470312915,0.8023255813953489,0.770949720670391,0.8363636363636363,0.7975935828877005,3.813
annomatic_topic_subsamples,0.569806839916731,0.7955801104972376,0.7309644670050761,0.8727272727272727,0.7804812834224599,3.713
annomatic_topic_subsamples,0.4930274503236423,0.7672634271099745,0.6637168141592921,0.9090909090909091,0.7310160427807487,10.72
annomatic_topic_subsamples,0.6130494985331265,0.8082595870206489,0.7873563218390804,0.8303030303030303,0.8063279857397504,7.922
annomatic_topic_subsamples,0.6174346354950877,0.8148148148148148,0.7688172043010753,0.8666666666666667,0.8068627450980392,7.932
annomatic_topic_subsamples,0.5489899618513144,0.7897435897435898,0.6844444444444444,0.9333333333333333,0.7578431372549019,13.144
annomatic_topic_subsamples,0.5980184543072051,0.807799442896936,0.7474226804123711,0.8787878787878788,0.795276292335116,10.509
annomatic_topic_subsamples,0.5629113613630069,0.7885714285714286,0.745945945945946,0.8363636363636363,0.7799465240641711,16.465
annomatic_topic_subsamples,0.5401656421148556,0.7823691460055097,0.7171717171717171,0.8606060606060606,0.7655971479500892,15.077
annomatic_topic_subsamples,0.546479562961127,0.7870619946091644,0.7087378640776699,0.8848484848484849,0.7659536541889482,12.968
annomatic_topic_subsamples,0.5896424120885706,0.7976539589442815,0.7727272727272727,0.8242424242424242,0.7944741532976826,13.195
annomatic_topic_subsamples,0.6130246823529694,0.8135593220338982,0.7619047619047619,0.8727272727272727,0.8040106951871657,27.679
annomatic_topic_subsamples,0.5659521843395763,0.7945205479452054,0.725,0.8787878787878788,0.7776292335115864,26.122
annomatic_topic_subsamples,0.5277727161455736,0.7727272727272727,0.7272727272727273,0.8242424242424242,0.7621212121212121,29.947
annomatic_topic_subsamples,0.5765996334118643,0.7988980716253444,0.7323232323232324,0.8787878787878788,0.783511586452763,35.801
annomatic_topic_subsamples,0.5712711640845621,0.7967032967032966,0.7286432160804021,0.8787878787878788,0.7805704099821748,38.107
annomatic_topic_subsamples,0.5989333873528077,0.8057142857142856,0.7621621621621621,0.8545454545454545,0.7978609625668449,36.246
annomatic_topic_subsamples,0.5823886844048382,0.7988668555240793,0.75,0.8545454545454545,0.7890374331550802,44.596
annomatic_topic_subsamples,0.5725887233761283,0.7906976744186045,0.7597765363128491,0.8242424242424242,0.785650623885918,48.38
annomatic_topic_subsamples,0.5441058895670949,0.7874015748031497,0.6944444444444444,0.9090909090909091,0.7604278074866311,46.123
annomatic_topic_subsamples,0.590298121001375,0.8054794520547944,0.735,0.8909090909090909,0.789572192513369,51.186
annomatic_topic_subsamples,0.5805411027894339,0.8,0.7384615384615385,0.8727272727272727,0.7863636363636363,50.876
annomatic_topic_subsamples,0.5900850219002198,0.8033707865168539,0.7486910994764397,0.8666666666666667,0.792156862745098,51.309
annomatic_topic_subsamples,0.5765996334118643,0.7988980716253444,0.7323232323232324,0.8787878787878788,0.783511586452763,55.235
annomatic_topic_subsamples,0.6036250305545375,0.8069164265129684,0.7692307692307693,0.8484848484848485,0.8007130124777184,54.731
annomatic_topic_subsamples,0.537864663016567,0.7839999999999999,0.7,0.8909090909090909,0.7601604278074866,52.304
annomatic_topic_subsamples,0.580477268490272,0.7965616045845272,0.7554347826086957,0.8424242424242424,0.7888591800356506,59.236
annomatic_topic_subsamples,0.5537792160086769,0.7890410958904109,0.72,0.8727272727272727,0.7716577540106953,49.9
annomatic_topic_subsamples,0.5782565870258934,0.7930029154518949,0.7640449438202247,0.8242424242424242,0.7885918003565062,56.96
