,mcc,f1,precision,recall,roc_auc,subsample
0,0.2898298850919365,0.5755813953488372,0.7021276595744681,0.4876847290640394,0.6383147263410649,alpha_10_idx_2
1,0.28191240225973496,0.7065026362038666,0.5491803278688525,0.9901477832512315,0.5805010273040078,alpha_1_5_idx_3
2,0.4679136288302496,0.7640918580375783,0.6630434782608695,0.9014778325123153,0.717070574547615,alpha_10_idx_3
3,0.4718814379721167,0.766393442622951,0.656140350877193,0.9211822660098522,0.7143599772260316,alpha_1_5_idx_2
4,0.536812715370658,0.7885462555066081,0.7131474103585658,0.8817733990147784,0.7599821768943239,alpha_1_idx_1
5,0.5516267080270086,0.789838337182448,0.7434782608695653,0.8423645320197044,0.7729410599797014,alpha_100_idx_3
6,0.5273463127265942,0.765432098765432,0.7673267326732673,0.7635467980295566,0.7636829467534717,alpha_10_idx_1
7,0.537433498994877,0.7748184019370461,0.7619047619047619,0.7881773399014779,0.7684605292472213,alpha_5_idx_1
8,0.5322657597880875,0.7891440501043842,0.6847826086956522,0.9310344827586207,0.7469242765551898,alpha_0_01_idx_3
9,0.5440183986695614,0.7921225382932165,0.7125984251968503,0.8916256157635468,0.7623957224546377,alpha_1_idx_2
10,0.5710309151807478,0.7981438515081207,0.7543859649122807,0.8472906403940886,0.7829418026091046,alpha_2_idx_1
11,0.5436084432431506,0.7819905213270143,0.7534246575342466,0.812807881773399,0.7707255489269005,alpha_5_idx_3
12,0.47053375639056794,0.7661290322580646,0.6484641638225256,0.9359605911330049,0.7091863257172561,alpha_100_idx_2
13,0.536812715370658,0.7885462555066081,0.7131474103585658,0.8817733990147784,0.7599821768943239,alpha_0_5_idx_1
14,0.5107804091695507,0.7703016241299304,0.7280701754385965,0.8177339901477833,0.7530881006015299,alpha_5_idx_2
15,0.5355320102583374,0.7876106194690266,0.714859437751004,0.8768472906403941,0.760031685521202,alpha_1_5_idx_1
16,0.5574006115291295,0.7982646420824295,0.7131782945736435,0.9064039408866995,0.7672723222021437,alpha_inf_idx_2
17,0.5224139217768439,0.7623762376237623,0.7661691542288557,0.7586206896551724,0.7612198925662796,alpha_100_idx_1
18,0.5227154621808057,0.7599999999999999,0.7715736040609137,0.7487684729064039,0.7613189098200361,alpha_inf_idx_3
19,0.5040236268450233,0.7641509433962265,0.7330316742081447,0.7980295566502463,0.7507735722949724,alpha_2_idx_3
20,0.4892167921988065,0.7727272727272727,0.6654804270462633,0.9211822660098522,0.7244102284823131,alpha_0_1_idx_1
21,0.465491287743377,0.7550561797752808,0.6942148760330579,0.8275862068965517,0.7278634552070697,alpha_0_01_idx_2
22,0.5088255791266777,0.7659574468085105,0.7363636363636363,0.7980295566502463,0.7532861351090429,alpha_0_001_idx_2
23,0.5387001399010429,0.791578947368421,0.6911764705882353,0.9261083743842364,0.7519989108102086,alpha_0_01_idx_1
24,0.5573600813862738,0.7973568281938326,0.7211155378486056,0.8916256157635468,0.7699334108968487,alpha_0_1_idx_3
25,0.5286291898524692,0.7839643652561247,0.7154471544715447,0.8669950738916257,0.7576181399608882,alpha_0_001_idx_1
26,0.5218387146671201,0.7835497835497837,0.6988416988416989,0.8916256157635468,0.749832908384286,alpha_inf_idx_1
27,0.5549422670175186,0.7936507936507937,0.7352941176470589,0.8620689655172413,0.7727430254721885,alpha_2_idx_2
28,0.524981558395215,0.7757009345794392,0.7377777777777778,0.8177339901477833,0.7606257890437408,alpha_0_5_idx_2
29,0.5325290640210648,0.7729468599033816,0.7582938388625592,0.7881773399014779,0.765947966433151,alpha_1_idx_3
30,0.5356380171352176,0.7855530474040631,0.725,0.8571428571428571,0.7627422828427854,alpha_0_5_idx_3
31,0.5492570984679304,0.7858823529411766,0.7522522522522522,0.8226600985221675,0.7731390944872144,alpha_0_001_idx_3
32,0.5175120359615952,0.7651331719128329,0.7523809523809524,0.7783251231527094,0.7585092952446965,alpha_0_1_idx_2
