source,reliability,bias
greg-kelly-reports,19.43,22.73
hacks-on-tap,45.67,-5.22
hallie-jackson-reports,42.78,-7.33
hannity,17.7,24.3
hard-factor-news,23.56,5.0
harper’s-bazaar,43.02,-6.46
hartford-courant,47.42,-0.98
hawaii-news-now,46.21,-0.12
heavy,43.64,-2.71
here’s-where-it-gets-interesting,46.93,-1.85
high-country-news,43.16,-8.92
hill-reporter,32.56,-13.11
hodgetwins,19.0,25.33
hold-these-truths-with-dan-crenshaw,34.27,15.56
hotair,24.77,12.78
houston-chronicle,44.67,-4.12
huckabee,22.1,19.17
huffpost,37.82,-10.75
in-the-bubble-with-andy-slavitt,41.47,-8.92
in-these-times,33.97,-18.08
independent-journal-review,25.81,12.82
indianapolis-star,48.57,-1.44
infowars,15.78,23.58
inquisitr,32.46,-7.13
inside-climate-news,45.79,-9.2
inside-politics-with-abby-phillip,38.44,-9.33
inside-politics-with-john-king,38.89,-8.78
inside-story,32.89,-19.78
inside-the-hive-podcast,35.67,-12.44
international-business-times,42.28,-2.74
jacobin,31.69,-21.47
jesse-watters-primetime,17.21,23.73
jezebel,29.2,-18.18
john-bachman-now,27.37,18.7
john-solomon-reports,13.86,24.6
jose-diaz-balart-reports,40.13,-10.55
judicial-watch,23.64,23.27
junkee,38.96,-7.74
just-the-news,33.31,10.7
justice-with-judge-jeanine,17.1,25.4
kansas-city-star,43.24,-5.86
kasich-&-klepper,40.56,-1.44
katy-tur-reports,29.38,-16.39
kennedy-saves-the-world,36.0,8.0
la-times,42.69,-6.46
la-weekly,43.99,-2.51
laconia-daily-sun,45.36,0.4
las-vegas-review-journal,42.4,3.06
last-week-tonight-with-john-oliver,26.94,-16.87
law-and-crime,45.63,-3.78
lawrence-jones-cross-country,30.89,17.25
"left,-right-&-center",39.0,-1.22
let’s-talk-elections,39.15,-6.4
letters-from-an-american-–-heather-cox-richardson,36.67,-13.4
levintv,16.67,24.92
lex-fridman-podcast,26.3,-3.7
liberty-nation,23.32,17.8
life-news,19.8,19.71
"life,-liberty-and-levin",18.67,27.59
lifesite-news,16.17,20.96
lifezette,22.01,22.32
lindell-tv,12.75,28.33
lost-debate,36.22,2.11
louder-with-crowder,8.93,31.33
lovett-or-leave-it,22.18,-24.13
mad-money,36.33,1.22
majority-54,32.44,-18.8
make-me-smart,38.8,-9.42
making-money-with-charles-payne,38.83,6.41
making-sense-with-sam-harris,34.17,1.87
marine-corps-times,45.02,0.16
marketplace,44.89,-2.0
marketwatch,40.93,-3.88
mashable,40.27,-8.73
mea-culpa-with-michael-cohen,31.42,-21.08
media-matters-for-america,26.45,-15.06
mediaite,37.25,-8.64
meet-the-press,35.8,-10.1
meet-the-press-now,36.42,-13.47
meidastouch-news,27.75,-18.93
mercury-news,44.41,-3.0
miami-herald,40.88,-8.15
mic,35.89,-15.74
military-officers-association-of-america-moaa,41.56,-0.2
military-times,46.49,-0.19
milwaukee-journal-sentinel,46.99,-7.01
mintpress-news,34.03,-17.99
mo-news-podcast,41.86,-6.4
montana-free-press,46.33,-3.8
morning-brew,45.47,-0.22
morning-joe,29.33,-14.7
mother-jones,37.08,-15.12
ms.-magazine,37.77,-14.23
msn.com,27.35,-3.75
msnbc,34.51,-14.03
"mueller,-she-wrote",28.0,-13.33
nasdaq,28.61,0.02
national-catholic-register,22.39,11.81
national-enquirer,16.3,2.31
national-file,21.07,20.35
national-report,16.58,21.33
national-review,31.33,12.93
natural-news,9.27,28.1
nature,46.33,-1.48
navy-times,46.25,-0.18
nbc-news,43.21,-5.79
nbc-nightly-news-with-lester-holt,46.38,-4.82
nbc:-today,41.83,-2.17
new-republic,29.53,-17.18
new-statesman,40.13,-7.33
new-york-daily-news,40.47,-8.12
new-york-magazine,39.84,-9.95
new-york-post,31.92,9.28
new-york-sun,31.1,13.11
news-and-guts,36.92,-12.16
newsbusters,19.99,20.48
newsday,46.75,-2.77
newser,36.83,-5.52
newsmax,28.9,13.54
newsnation,44.23,0.09
newsone,35.06,-17.17
newsweek,38.63,-2.42
newt’s-world,32.92,17.4
nightline,48.58,-4.33
nj.com,43.92,-2.88
no-agenda,21.17,20.33
no-lie-with-brian-tyler-cohen,30.87,-20.3
nola.com,47.64,-1.97
nowthis-news,41.47,-7.95
npr,42.99,-4.27
oan-network,28.28,14.13
observer,44.78,-5.41
occupy-democrats,25.3,-21.06
omaha-world-herald,46.33,-0.38
on-balance-with-leland-vittert,30.81,13.26
on-point,43.58,-2.83
on-the-media,40.13,-15.65
one-nation-w/-brian-kilmeade,26.1,19.24
open-to-debate,40.87,-4.21
orange-county-register,40.54,5.57
orlando-sentinel,44.94,-6.7
outnumbered,22.75,24.58
outside-online,39.56,-7.16
ozy,40.56,-7.4
page-six,36.86,0.57
palmer-report,19.17,-23.43
panorama,48.67,-7.58
pantsuit-politics,31.0,-15.42
part-of-the-problem,11.89,16.0
paste-magazine,35.13,-11.56
pat-gray-unleashed,17.08,23.67
patch,46.09,-3.54
pbs,43.32,-4.05
pbs-newshour,43.07,-9.07
people-&-power,46.47,-8.42
people-magazine,41.63,-5.73
philadelphia-inquirer,37.67,-11.28
pittsburgh-post-gazette,47.59,-0.45
pivot,31.94,-13.17
pj-media,18.71,21.66
planet-money,42.87,-0.07
pod-is-a-woman,42.33,-12.0
pod-save-america,27.56,-23.86
pod-save-the-people,35.56,-13.22
pod-save-the-world,35.73,-17.36
political-gabfest,40.27,-12.27
politically-re-active-with-w.-kamau-bell-&-hari-kondabolu,34.67,-16.67
politico,42.32,-5.58
politico-playbook-daily-briefing,42.78,-4.56
politico’s-pulse-check,43.58,-0.5
politicology,33.11,-8.33
politics-war-room-with-james-carville-&-al-hunt,33.25,-15.27
politicsnation-with-al-sharpton,30.33,-20.67
politicus-usa,30.82,-16.24
politifact,44.67,-3.51
pop-smoke-media,42.82,2.05
popsugar,35.62,-12.33
popular-information,36.53,-14.09
poynter,41.75,-7.32
prageru,23.34,18.63
propublica,47.17,-6.77
qanon-anonymous,33.89,-8.37
quartz,43.87,-4.77
quillette,37.67,9.33
radio-times,39.8,-0.04
rantt-media,38.2,-15.33
rasmussen-reports,33.72,13.94
rational-security,38.44,-6.5
raw-story,34.52,-14.35
real-america,12.46,26.0
real-change-news,41.61,-9.18
